loss: 1.1165:   0%|          | 0/30000 [00:03<?, ?it/s]
loss: 0.0383:  13%|█▎        | 4000/30000 [5:14:30<17655:20:17, 2444.59s/it, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0383:  13%|█▎        | 4000/30000 [5:14:30<17655:20:17, 2444.59s/it, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0376:  14%|█▎        | 4100/30000 [5:15:33<4:21:34,  1.65it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0384:  14%|█▎        | 4100/30000 [5:15:33<4:21:34,  1.65it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0384:  14%|█▎        | 4100/30000 [5:15:33<4:21:34,  1.65it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0374:  14%|█▍        | 4200/30000 [5:16:35<3:14:11,  2.21it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0396:  14%|█▍        | 4200/30000 [5:16:36<3:14:11,  2.21it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0396:  14%|█▍        | 4200/30000 [5:16:36<3:14:11,  2.21it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0413:  14%|█▍        | 4300/30000 [5:17:39<5:05:01,  1.40it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0395:  14%|█▍        | 4300/30000 [5:17:40<5:05:01,  1.40it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0395:  14%|█▍        | 4300/30000 [5:17:40<5:05:01,  1.40it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0375:  15%|█▍        | 4400/30000 [5:18:43<4:30:25,  1.58it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0411:  15%|█▍        | 4400/30000 [5:18:44<4:30:25,  1.58it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0411:  15%|█▍        | 4400/30000 [5:18:44<4:30:25,  1.58it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0417:  15%|█▌        | 4500/30000 [5:19:47<4:09:42,  1.70it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0439:  15%|█▌        | 4500/30000 [5:19:47<4:09:42,  1.70it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0439:  15%|█▌        | 4500/30000 [5:19:47<4:09:42,  1.70it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0383:  15%|█▌        | 4600/30000 [5:20:51<5:16:55,  1.34it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0399:  15%|█▌        | 4600/30000 [5:20:51<5:16:55,  1.34it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0399:  15%|█▌        | 4600/30000 [5:20:51<5:16:55,  1.34it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0354:  16%|█▌        | 4700/30000 [5:21:54<4:38:36,  1.51it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0446:  16%|█▌        | 4700/30000 [5:21:54<4:38:36,  1.51it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0446:  16%|█▌        | 4700/30000 [5:21:54<4:38:36,  1.51it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0416:  16%|█▌        | 4800/30000 [5:22:57<4:16:33,  1.64it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0367:  16%|█▌        | 4800/30000 [5:22:57<4:16:33,  1.64it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0367:  16%|█▌        | 4800/30000 [5:22:57<4:16:33,  1.64it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0476:  16%|█▋        | 4900/30000 [5:24:00<3:09:57,  2.20it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0386:  16%|█▋        | 4900/30000 [5:24:01<3:09:57,  2.20it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0386:  16%|█▋        | 4900/30000 [5:24:01<3:09:57,  2.20it/s, GPU:  75% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0329:  17%|█▋        | 5000/30000 [5:25:04<4:58:11,  1.40it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0414:  17%|█▋        | 5000/30000 [5:25:04<4:58:11,  1.40it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0414:  17%|█▋        | 5000/30000 [5:25:04<4:58:11,  1.40it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0366:  17%|█▋        | 5100/30000 [5:26:07<4:25:13,  1.56it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0393:  17%|█▋        | 5100/30000 [5:26:08<4:25:13,  1.56it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0393:  17%|█▋        | 5100/30000 [5:26:08<4:25:13,  1.56it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0333:  17%|█▋        | 5200/30000 [5:27:11<4:02:26,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
